Nummer;CalculatedEmissionLowering;CalculatedEmission;FixedCharge;CalculatedConsumption;AdditionalHeatCost;CalculatedEnergySavings;ElectricityPrice;HeatSupplyCost;CalculatedEnergyConsumption;HeatSupply;ExtraCostPrYear;TotalProfitableInvestment;AdditionalHeat;PossibleEnergyLabelForAllProfitableProposals;TotalRecommendedInvestment;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYearForAllProposals;PossibleEnergyLabelForAllProposals;ExtraCostPrYear;TotalProfitableInvestment
311441374;827500;2064400;0;13900;0;9500;2,1;435;31800;DistrictHeat;6800;Kan ikke beregnes;Ingen;D;7000;0;6800;C;800;7000
311441384;375800;2986600;0;7600;0;1800;2,2;519,090909090909;14700;NaturalGas;1000;Kan ikke beregnes;Ingen;D;0;0;1000;D;500;2800
311441385;1118800;2589000;5636;27700;0;13600;2,2;552,36;39900;DistrictHeat;10400;Kan ikke beregnes;Ingen;B;0;0;10400;B;9000;127000
311441386;1475900;1845300;0;12700;0;7500;1,347;1347;9400;Electricity;10700;Kan ikke beregnes;Ingen;B;0;0;10700;A2015;7100;105200
311441387;699400;1868200;3044;17200;0;10700;0;491,007194244604;28800;DistrictHeat;5300;Kan ikke beregnes;Ingen;C;0;0;5300;C;3600;49900
311441388;149500;522600;1635;5900;0;2300;2,12;525;8100;DistrictHeat;1200;Kan ikke beregnes;Ingen;B;0;0;1200;A2010;600;4300
311441389;120500;729300;0;22000;0;29700;2,2;422,680412371134;36400;WoodPellets;18000;Kan ikke beregnes;Ingen;C;0;0;18000;A2010;13500;248400
311441390;0;490100;0;5000;0;0;2,2;661,55;7600;DistrictHeat;0;Kan ikke beregnes;Ingen;A2010;0;0;0;A2010;0;0
311441391;0;956800;4500;9814;0;0;2,1;725;14779;DistrictHeat;0;Kan ikke beregnes;Ingen;B;0;0;0;B;0;0
311441392;696200;1305200;4442,72;13700;0;17000;2,1;456,25;20100;DistrictHeat;10500;Kan ikke beregnes;Ingen;C;0;0;10500;A2010;2700;93800
311441393;2233100;4745100;0;12100;0;11000;2,1;519,090909090909;23300;NaturalGas;7700;Kan ikke beregnes;Ingen;D;0;0;7700;B;2800;85200
311441399;310000;678200;1997,14;9200;0;1600;2,2;676,25;9300;DistrictHeat;3400;Kan ikke beregnes;Ingen;C;0;0;3400;B;2900;72500
311441400;3203800;4471600;0;21500;422,680412371134;16700;0,927;927;23800;Electricity;15000;Kan ikke beregnes;WoodPellets;C;0;0;15000;C;13700;320600
311441401;4616000;6303700;0;29900;2200;16300;2,2;992,673267326733;24900;FuelGasOil;18800;Kan ikke beregnes;Electricity;A2010;0;0;18800;A2010;18600;238700
311441402;406000;1575000;2812,5;17600;0;3100;2,1;610;24300;DistrictHeat;4200;Kan ikke beregnes;Ingen;D;0;0;4200;C;0;0
311441403;-1031400;0;0;13200;0;25800;2,39;422,680412371134;31200;WoodPellets;4800;Kan ikke beregnes;Ingen;E;0;0;4800;A2010;1000;2600
311441404;3473100;4279900;0;14100;0;16900;2,3;623,636363636364;21000;NaturalGas;8000;Kan ikke beregnes;Ingen;C;0;0;8000;A2010;4700;130200
