id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;placehodlerForKælder;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
00f16db0-a341-42f0-9a10-914297ac4f1e;0a3f5082-9d6b-32b8-e044-0003ba298018;1983448;130;174;154;;;1987;1991;7;1;;POINT(656074.55 6188768.57);5;6
00f36ff9-6e9b-46c9-b847-1968bbd105c9;0a3f5084-ff45-32b8-e044-0003ba298018;1648052;510;86;86;;;;;7;1;;POINT(658888.94 6194473.52);5;2
00f503b5-2a12-4ef1-9227-724358ea4dff;0a3f5084-d93d-32b8-e044-0003ba298018;1647718;510;58;58;;;1946;2000;7;1;;POINT(658732.96 6196001.21);5;6
00f56553-b263-42e6-abaa-e825799973d7;0a3f5082-a4a0-32b8-e044-0003ba298018;2644504;510;126;121;;;2007;;7;1;2;POINT(654272.09 6191230.09);5;6
00f5ab22-4271-4118-ba22-8cd89c91e578;0a3f5082-aa4d-32b8-e044-0003ba298018;2628136;510;88;84;;;2005;;7;1;2;POINT(656712.37 6192205.76);5;6
00f5ef4d-007c-4559-a337-f06bbef1c47b;0a3f5083-d606-32b8-e044-0003ba298018;1044911;510;;;;;;;;;;;;9
00f73e27-35ed-4343-8731-1f87624c2872;0a3f5082-a022-32b8-e044-0003ba298018;1994091;120;135;228;;;1908;;5;1;2;POINT(651796.52 6182240.62);5;6
00f7bed0-fd1c-4d71-9918-a58a97bc37d0;0a3f5084-e5e2-32b8-e044-0003ba298018;1646180;510;94;92;;;2004;2018;7;1;2;POINT(653987.89 6203514.83);5;6
00f8e2c3-8989-4a46-9ab9-55b31c8a3ec2;0a3f5084-c4e0-32b8-e044-0003ba298018;1648079;510;46;46;;;1978;1998;7;1;;POINT(658863.09 6196204.34);5;6
00fcbe49-efe4-4074-9086-a20ccc6f0fed;0a3f5084-ce6b-32b8-e044-0003ba298018;1649497;530;81;;55;;1970;;7;1;;POINT(658058.71 6198641.99);5;6
00fd2b87-cd65-4e05-8905-88f16f9bb705;0a3f5085-00f8-32b8-e044-0003ba298018;1654237;510;43;43;;;;;;;;;;3
00fde548-80d2-4da9-a191-c16ebe916642;0a3f5084-e1ee-32b8-e044-0003ba298018;1654517;510;61;61;;;1971;2001;3;3;2;POINT(664534.35 6201536.2);5;6
00fe1f37-e0c6-40e2-8f1d-89af4bea9484;0a3f5084-ee55-32b8-e044-0003ba298018;1649020;585;13;13;;;1978;;7;1;;POINT(659590.64 6197928.22);5;6
00fe7b09-cb3a-45e3-ae92-e25381da9368;4eca26b5-e943-6765-e044-0003ba298018;1991251;210;85;;85;;1870;;9;;;POINT(663555.77 6185759.06);5;10
01010775-1786-4fdb-aa61-1a215b1b7fcc;0a3f5084-bc17-32b8-e044-0003ba298018;1647590;510;50;50;;;1965;;7;1;2;POINT(658502.11 6196383.84);5;6
0101b7d0-8ad9-4f80-b8ac-dfbc775edf3e;0a3f5084-da2d-32b8-e044-0003ba298018;1649508;510;79;79;;;1962;2015;7;1;2;POINT(658763.63 6198494.03);5;6
010245aa-f7e9-4048-ac93-5c6176cd4f33;0a3f5084-be5e-32b8-e044-0003ba298018;1653738;510;;;;;;;;;;;;9
01026857-e35b-4ccb-af4d-a45922914d57;0a3f5083-e653-32b8-e044-0003ba298018;1050110;120;15;15;;;;2005;;;;;;3
01037f3c-2d91-4c03-add0-ee78b9a3a35c;0a3f5082-c7d3-32b8-e044-0003ba298018;1993429;120;36;36;;;;2015;;;;;;9
01049f4c-6e11-4fbb-8fa5-e5eec6b7f65d;0a3f5082-b471-32b8-e044-0003ba298018;1990543;130;568;532;;;1987;;1;;7;POINT(659956.15 6186631.97);5;6
0105244c-1154-4b3e-bd89-301c75f79fcc;0a3f5084-e168-32b8-e044-0003ba298018;1645577;290;105;;105;;1984;;9;;;POINT(666512.76 6191501.35);5;6
01059c49-7f50-41a0-b080-c33c9e5347b6;0a3f5084-e7a5-32b8-e044-0003ba298018;1659782;510;20;20;;;1951;;7;1;;POINT(644525.61 6206523.69);5;6
0105bb75-5a7f-41af-b75c-747b7959498f;0a3f5083-de7e-32b8-e044-0003ba298018;1044488;510;40;40;;;1962;;3;4;90;POINT(671995.28 6204807.12);5;6
0105fae6-e478-49eb-99af-2ba09732e8d2;0a3f5083-d3db-32b8-e044-0003ba298018;1045911;140;112;65;47;;1980;;1;;;POINT(666884.76 6200671.44);5;6
0105fec8-1915-4df8-b424-59d6eccd2317;0a3f5084-c519-32b8-e044-0003ba298018;1646967;310;162;;162;;1966;;7;1;;;;10
010627a0-269c-4735-b89b-2fc463119bda;0a3f5082-ca32-32b8-e044-0003ba298018;2620486;120;188;132;;;2006;2008;2;7;;POINT(655978.85 6188654.73);5;6
0106c277-bde4-40a8-9581-bb6ab3a11ae1;0a3f5084-d732-32b8-e044-0003ba298018;1652933;120;58;82;;;1923;1953;7;1;1;POINT(662794.67 6203072.15);5;6
01071570-08b3-4678-9210-780dcd35d377;0a3f5083-d39c-32b8-e044-0003ba298018;1047372;120;62;90;;;1955;;1;;;POINT(666157.61 6200734.91);5;6
010734f6-d4ce-4d85-a8f0-297e9de0e01e;0a3f5082-b579-32b8-e044-0003ba298018;1983037;120;95;152;;;1910;2003;2;3;;POINT(655799.97 6190590.19);5;6
0107b44f-0461-49dc-bbd4-32fd322215d6;0a3f5084-ff49-32b8-e044-0003ba298018;1647893;510;55;55;;;1988;;7;1;90;POINT(658985.19 6194435.57);5;6
010880a8-1bca-46ed-9cda-c2350801ba10;0a3f5084-cb9b-32b8-e044-0003ba298018;1644076;140;234;239;142;;1888;1974;2;3;;POINT(662883.37 6195183.9);5;6
01093e2c-1e27-4ea3-be35-b917f573ccea;0a3f5083-d441-32b8-e044-0003ba298018;1044330;510;40;40;;;1961;;7;1;;POINT(671766.38 6203766.88);5;6
0109523e-0f82-4118-a0d8-be551fab4560;0a3f5084-e766-32b8-e044-0003ba298018;1646295;510;58;58;;;1992;;7;1;;POINT(654812.3 6203199.81);5;6
010a9071-8f60-45cb-b926-03950f1753ec;0a3f5082-a2d2-32b8-e044-0003ba298018;1983960;510;;;;;;;;;;;;11
010b93c8-eb9a-48b1-8d72-1d8d1ad5b8d8;0a3f5082-c4a1-32b8-e044-0003ba298018;1983756;510;72;120;;;1982;1994;7;1;2;POINT(657316.33 6192110.15);5;6
01107b91-c555-42ad-8b9f-289de35c134f;0a3f5082-b469-32b8-e044-0003ba298018;1990625;120;159;244;;;1980;1984;7;1;;POINT(659837.24 6186566.44);5;6
01112df8-3399-4ac2-8bc7-8b4f213aeccd;0a3f5084-e47f-32b8-e044-0003ba298018;1656294;510;64;64;;;1967;;7;1;;POINT(658714.49 6200349.07);5;6
0112776a-46dd-4edd-a2cc-08758a33f44c;0a3f5084-f9b2-32b8-e044-0003ba298018;1651418;130;64;64;;;1989;;1;;90;POINT(662432.15 6199080.05);5;6
0113f658-689c-48b7-9029-4bdf86b2749b;0a3f5084-f6b8-32b8-e044-0003ba298018;1659564;585;17;17;;;;2017;9;;;;;9
0114af56-5776-4982-b1ba-d8f88451bd06;0a3f5082-ca67-32b8-e044-0003ba298018;1992094;510;29;29;;;1967;;7;1;;POINT(663199.24 6184551.82);5;6
0114d9dd-4e1e-4c1f-a9e8-f98b88757236;0a3f5084-cdda-32b8-e044-0003ba298018;100081651;110;13;13;;;;2018;;;;;;9
011b8e9d-e55d-43ff-8fa6-ab50f67e121c;0a3f5083-db4b-32b8-e044-0003ba298018;1042864;510;95;70;;;1969;2000;7;1;2;POINT(670347.74 6202587.6);5;6
011cb2ab-e193-43b0-8ab3-0b32234a6e38;0a3f5082-c35f-32b8-e044-0003ba298018;1991661;585;30;30;;;2009;;5;1;;POINT(659592.89 6185241.71);5;6
011ce12f-c300-452c-b56c-db4cc7e1a277;0a3f5083-c8e0-32b8-e044-0003ba298018;2592257;430;586;;762;;1915;;1;;;POINT(666603.62 6199031.29);5;6
