ESREjdNr;Bygning_id;BYG_BOLIG_ARL_SAML;BYG_ARL_SAML;BYG_ANVEND_KODE;OPFOERELSE_AAR;ERHV_ARL_SAML;OMBYG_AAR;HeatSupply;ZipCode;LabelStatusCode;PropertyNumber;Wgs84Latitude;ValidFrom;SchemaVersion;ValidTo;EnergyLabelTypeUsage;SubmitterConsultantName;SubmitterCompanyIdentifier;LabelStatus;BuildingNumber;HasPdf;DEMOLink;MunicipalityNumber;EnergyLabelClassification;CityName;EntityIdentifier;Wgs84Longitude;HasXML;IsMixedUsage;SubmitterCompanyName;EnergyLabelSerialIdentifier;HouseNumber;IsHidden;StreetName;EnergyLabelTypeBasedOn;BBRUseCode;YearOfConstruction
180466;0445693b-5a66-4494-91f0-299edf51f641;510;288;130;2005;0;0;NaturalGas;2640;1;180466;55.64056590139;2015-08-31;1.0.17;2025-08-31;MultiFamily;Jacob Wibroe;600109;VALID;1, 2, 3, 4;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Stenbuen%202,%202640%20Hedehusene%20(311131897);169;B;Hedehusene;311131897;12.1926829922208;True;False;Danakon a/s;311131897;2;False;Stenbuen;CalculatedConsumption;130;2005
154414;04524b78-52a0-4655-af3f-458698a8f27e;149;149;120;1980;0;0;Electricity;2640;1;154414;55.6418235661269;2014-03-06;1.0.16;2024-03-06;SingleFamily;Karsten Larsen;600164;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Brandv%C3%A6nget%2024,%202640%20Hedehusene%20(311041507);169;D;Hedehusene;311041507;12.1927218037141;True;False;Energi- og Bygningsrådgivning A/S;311041507;24;False;Brandvænget;CalculatedConsumption;120;1980
186246;04601c60-dd5c-49e2-a57f-39f1b47404eb;111;111;131;2018;0;0;DistrictHeat;2640;1;186246;55.6434965411395;2018-07-23;1.0.19;2028-07-23;SingleFamily;Martin Dahl Thomsen;600045;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Kongelysvej%203,%202640%20Hedehusene%20(311327484);169;A2015;Hedehusene;311327484;12.2040653835479;True;False;Topdahl ApS;311327484;3;False;Kongelysvej;CalculatedConsumption;130;2018
186525;047a7cb8-93a5-4208-8958-a6e3ba892288;120;120;131;2020;0;0;DistrictHeat;2630;1;186525;;2020-01-30;1.0.20;2030-01-30;SingleFamily;Jens Kau;600398;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Musholmvej%207,%202630%20Taastrup%20(311419837);169;A2015;Taastrup;311419837;;True;False;BF Byggeservice ApS;311419837;7;False;Musholmvej;CalculatedConsumption;130;2020
186525;047a7cb8-93a5-4208-8958-a6e3ba892288;120;120;131;2020;0;0;DistrictHeat;2630;1;186525;;2020-01-30;1.0.20;2030-01-30;SingleFamily;Jens Kau;600398;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Musholmvej%207,%202630%20Taastrup%20(311419837);169;A2015;Taastrup;311419837;;True;False;BF Byggeservice ApS;311419837;7;False;Musholmvej;CalculatedConsumption;130;2020
186525;047a7cb8-93a5-4208-8958-a6e3ba892288;120;120;131;2020;0;0;DistrictHeat;2630;1;186525;;2020-01-30;1.0.20;2030-01-30;SingleFamily;Jens Kau;600398;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Musholmvej%207,%202630%20Taastrup%20(311419837);169;A2015;Taastrup;311419837;;True;False;BF Byggeservice ApS;311419837;7;False;Musholmvej;CalculatedConsumption;130;2020
186525;047a7cb8-93a5-4208-8958-a6e3ba892288;120;120;131;2020;0;0;DistrictHeat;2630;1;186525;;2020-01-30;1.0.20;2030-01-30;SingleFamily;Jens Kau;600398;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Musholmvej%207,%202630%20Taastrup%20(311419837);169;A2015;Taastrup;311419837;;True;False;BF Byggeservice ApS;311419837;7;False;Musholmvej;CalculatedConsumption;130;2020
186525;047a7cb8-93a5-4208-8958-a6e3ba892288;120;120;131;2020;0;0;DistrictHeat;2630;1;186525;;2020-01-30;1.0.20;2030-01-30;SingleFamily;Jens Kau;600398;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Musholmvej%207,%202630%20Taastrup%20(311419837);169;A2015;Taastrup;311419837;;True;False;BF Byggeservice ApS;311419837;7;False;Musholmvej;CalculatedConsumption;130;2020
167052;047d62c2-5e75-4507-8037-13b0807aa829;162;162;120;1995;0;0;DistrictHeat;2630;1;167052;;2019-11-21;1.0.20;2029-11-21;SingleFamily;Carl Hansson;600164;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Valby%20S%C3%B8ndergade%2039,%202630%20Taastrup%20(311410163);169;B;Taastrup;311410163;;True;False;Energi- og Bygningsrådgivning A/S;311410163;39;False;Valby Søndergade;CalculatedConsumption;120;1995
185873;04b16dee-bb15-4d0f-b9b6-9107eac2ecf2;180;180;120;2012;0;0;;2630;2;185873;55.6492009441985;2012-06-29;be10;2022-06-29;SingleFamily;Martin Dahl Thomsen;600045;INCOMPATIBLE;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Fr%C3%B8haven%2016E,%202630%20Taastrup%20(10006447);169;A1;Taastrup;10006447;12.2517052620616;True;False;Topdahl ApS;10006447;16E;False;Frøhaven;CalculatedConsumption;120;2012
186268;04d21036-95b7-4f69-b680-7128d16254cf;476;491;140;2019;0;0;DistrictHeat;2630;1;186268;55.6441359059125;2019-04-02;1.0.19;2029-04-02;MultiFamily;Martin Dahl Thomsen;600535;VALID;12;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/311368490;169;A2020;Taastrup;311368490;12.2697422715394;True;False;Topdahl Energirådgivere ApS;311368490;90;False;Høje Taastrup Boulevard;CalculatedConsumption;140;2019
160368;0502bae7-8123-428c-9861-a7fcd2418807;321;321;130;1986;0;0;DistrictHeat;2630;1;160368;55.6410869244602;2014-06-04;1.0.17;2024-06-04;SingleFamily;Christian Strarup;600045;VALID;45, 46, 47, 48;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Cederlunden%201,%202630%20Taastrup%20(311057762);169;C;Taastrup;311057762;12.2781992618361;True;False;Topdahl ApS;311057762;1;False;Cederlunden;CalculatedConsumption;130;1986
152977;0505a91e-107b-4f7f-8f7f-ecaf856b3eab;116;116;130;1979;0;0;DistrictHeat;2630;1;152977;55.6539740007148;2016-06-27;1.0.18;2026-06-27;SingleFamily;Morten Aagesen;600481;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Hallandsparken%2040,%202630%20Taastrup%20(311186015);169;B;Taastrup;311186015;12.26763707802;True;False;Danske Bygningskonsulenter;311186015;40;False;Hallandsparken;CalculatedConsumption;130;1979
186149;054c80ca-64a1-43d8-b186-459c23108a05;133;79;130;2016;0;0;DistrictHeat;2630;1;186149;55.6512404303011;2016-06-14;1.0.18;2026-06-14;SingleFamily;Martin Dahl Thomsen;600045;VALID;2;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Pr%C3%A6steg%C3%A5rdsvej%2014,%202630%20Taastrup%20(311183140);169;A2015;Taastrup;311183140;12.2629252563009;True;False;Topdahl ApS;311183140;14;False;Præstegårdsvej;CalculatedConsumption;130;2016
185672;059355c7-b7bd-48ab-9874-9d12748fc595;82;110;130;2011;0;0;NaturalGas;2630;1;185672;55.6784949936647;2011-03-15;1.0.15;2021-03-15;SingleFamily;Christian Smedegaard Sørensen;600016;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Solbakkevej%2025,%202630%20Taastrup%20(100211452);169;B;Taastrup;100211452;12.2604225009831;True;False;e-consult ApS;100211452;25;False;Solbakkevej;CalculatedConsumption;130;2011
178801;059e8610-76c7-4899-8c12-0dab4f7a3495;0;1845;323;2004;1845;0;DistrictHeat;2630;1;178801;55.6362919091953;2016-09-28;1.0.18;2026-09-28;NonResidental;Niels Hansen;600452;VALID;1, 2, 3, 4, 5, 6, 7, 9;True;https://emoweb.dk/emodigital/emodigital.svc/PdfDocument/311203368;169;C;Taastrup;311203368;12.2590906949512;True;False;NiH Energy ApS;311203368;2;False;Højager;CalculatedConsumption;310;2004, 2014
185662;06008adf-441c-4dcc-aed8-9567bf9dce01;112;138;130;2011;0;0;NaturalGas;2630;1;185662;55.6793608227072;2011-01-10;1.0.15;2021-01-10;SingleFamily;Christian Smedegaard Sørensen;600016;VALID;1;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Solbakkevej%205,%202630%20Taastrup%20(100201107);169;B;Taastrup;100201107;12.2589670547451;True;False;e-consult ApS;100201107;5;False;Solbakkevej;CalculatedConsumption;130;2011
108420;06083fe9-3a10-4ff3-9644-7613ac52eeae;306;309;130;1974;0;0;DistrictHeat;2640;1;108420;55.6606898760669;2017-02-03;1.0.18;2027-02-03;SingleFamily;Ahmad Ratha;600199;VALID;17, 18, 19, 20, 21, 22, 23, 24, 25, 26;True;http://sparenergi.dk/forbruger/vaerktoejer/det-digitale-energimaerke#Adresse/Kuglens%20Kvarter%202,%202640%20Hedehusene%20(311226388);169;C;Hedehusene;311226388;12.1766373158747;True;False;FORCE Technology;311226388;2;False;Kuglens Kvarter;CalculatedConsumption;130;1974
