Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
100212520;Er ikke beregnet;Er ikke beregnet;2;1486;0;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;0;;0;0
311380649;6631;3187;1,7;0;1700;0;Kan ikke beregnes;0;Electricity;624000;Electricity;1700;0;A2020;0;A2020;0;0;0;0
100106177;Er ikke beregnet;Er ikke beregnet;1,7;3760;610;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;2300;;0;0
100175898;Er ikke beregnet;Er ikke beregnet;2;0;727,272727272727;Er ikke beregnet;1000;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;2500;;2500;1000
311316427;23200;13900;1,96;0;1960;15500;Kan ikke beregnes;5352300;Wood;7527800;Electricity;367,727272727273;2900;C;0;C;15500;0;14100;144100
100248017;Er ikke beregnet;Er ikke beregnet;2;0;910,891035820572;Er ikke beregnet;4100;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;D;5700;;5700;4100
311303085;5100;3400;2;3165,08;557,23;0;Kan ikke beregnes;0;Ingen;476600;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311109399;6000;5000;2,14;2702,01;648,24;2700;Kan ikke beregnes;742200;Ingen;700800;DistrictHeat;0;2500;A2015;0;A2010;2700;0;200;0
310007247;12700;11500;2,1;3901,075;573,1;7600;79300;2425300;Ingen;2362100;DistrictHeat;0;3700;A2015;79300;A2015;7600;0;7600;0
311306309;16500;25000;0;0;658,181818181818;4400;Kan ikke beregnes;1382500;Wood;5083700;NaturalGas;0;6600;C;0;D;4400;0;900;28600
100206985;Er ikke beregnet;Er ikke beregnet;2;0;910,891035820572;Er ikke beregnet;1900;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;2200;;2200;1900
100224110;Er ikke beregnet;Er ikke beregnet;2;0;940,594059405941;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;FuelGasOil;437,727272727273;Er ikke beregnet;;;C;6800;;0;0
100224227;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;D;6000;;4600;25800
311048837;14200;18100;2,07;3759,03;573,76;7500;Kan ikke beregnes;1919100;Ingen;2549300;DistrictHeat;0;10100;A2010;0;B;7500;0;5100;0
311440867;8700;16000;2,1;0;519,090909090909;4500;Kan ikke beregnes;440000;Electricity;3261500;NaturalGas;2100;2200;A2010;0;B;4500;0;0;0
200055766;Er ikke beregnet;Er ikke beregnet;2,0308;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;138400;;34400;115000
100208059;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;;0;;0;0
311179507;7900;12300;2,12;0;640,909090909091;3500;101300;1069500;Ingen;2495000;NaturalGas;0;1600;B;0;B;3500;0;3500;101300
311439649;12900;12700;2,25;4248,76;585,09;2200;Kan ikke beregnes;193000;Ingen;914700;DistrictHeat;0;1000;B;0;C;2200;0;0;0
100201117;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;;0;;0;0
300004332;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311074255;13500;14900;0;4603;597,33;3600;65000;916300;Ingen;2095300;DistrictHeat;0;1400;C;0;C;3600;0;3600;0
311092500;13700;8900;1,85;0;1850;500;Kan ikke beregnes;175700;Wood;4566800;Electricity;437,727272727273;300;D;0;D;500;0;0;0
100253881;Er ikke beregnet;Er ikke beregnet;2,04;0;1138,61386138614;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;20900;;11800;87200
311442128;74200;70700;2,2;32741,5;585,09;0;Kan ikke beregnes;0;Ingen;-271330150;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100197796;Er ikke beregnet;Er ikke beregnet;2;1219,9625;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;0;;0;0
311185001;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
100138856;Er ikke beregnet;Er ikke beregnet;2;1031;519;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;A1;0;;0;0
311357403;1500;1000;1,48;0;1480;0;Kan ikke beregnes;0;Ingen;191700;Electricity;0;0;A2020;0;A2020;0;0;0;0
311163725;4800;3000;2,3;3054,27;580,45;0;Kan ikke beregnes;0;Ingen;411800;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
200032127;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;B;211400;;158700;1298900
311143724;47500;21200;2,25;0;2250;23900;Kan ikke beregnes;7052400;Electricity;13992700;Electricity;2250;10700;B;0;C;23900;0;17800;0
311255484;8300;8500;2,22;3334,62;580,45;2400;Kan ikke beregnes;709300;Ingen;1197100;DistrictHeat;0;1200;A2020;0;A2020;2400;0;2300;40300
311275940;927900;820700;2,25;143311,329756097;580,45;122800;Kan ikke beregnes;33234300;Ingen;212081400;DistrictHeat;0;128000;C;0;D;122800;0;73200;733400
100185081;Er ikke beregnet;Er ikke beregnet;2;0;910,891035820572;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;D;2200;;2200;1300
100029658;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;C1;0;;0;0
100229555;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;C;33200;;31300;371300
311413304;5000;3100;2,45;3228,4;585,09;0;Kan ikke beregnes;0;Ingen;195700;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311023689;25600;13600;1,89;0;1890;14300;Kan ikke beregnes;6751100;Ingen;8961200;Electricity;0;7500;B;283000;B;14300;0;13400;0
311194496;264400;314400;2,2;81819,89;580,45;43000;Kan ikke beregnes;11986700;Ingen;44327600;DistrictHeat;0;40600;A2010;0;B;43000;0;26400;350000
311100920;15100;6700;2;11098,59;584,892086331;3100;Kan ikke beregnes;987000;Ingen;941900;DistrictHeat;0;2000;A2010;0;A2010;3100;0;0;0
100035627;Er ikke beregnet;Er ikke beregnet;2;0;732,673267326733;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C1;38600;;32800;14500
311143942;23200;26000;0;7974;586,21;10100;134200;2687900;Ingen;3653400;DistrictHeat;0;4100;B;134200;B;10100;0;10100;0
