id_lokalId;husnummer;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
c13c27c4-06a2-473e-8387-d49fba488aef;0a3f507c-f72f-32b8-e044-0003ba298018;440;120;;120;2006;;1;;;POINT(700001 6172780.03);5;6
c13cbfe3-a386-48be-b25c-5d58954d2f0c;0a3f507c-ed22-32b8-e044-0003ba298018;920;;;;1983;;;;;POINT(707566.08 6170865.07);5;6
c13ed164-90db-468d-9f3a-a0163fc5521d;0a3f507c-f33f-32b8-e044-0003ba298018;440;547;;547;1980;1999;2;7;;POINT(702633.84 6171725.44);5;6
c13f1d7c-0d5d-4051-b05d-ec1c355e657c;ab6f0510-50e6-49d7-b71d-80fc41c601f7;131;130;130;;2019;;1;;;POINT(701304.76 6171240.21);5;13
c140ce86-db0c-42cb-990a-215a6306ba1d;0a3f507c-f12a-32b8-e044-0003ba298018;160;241;240;;1982;;1;;;POINT(705277.23 6171991.49);5;6
c14302e8-7142-4b9b-9ca1-5bfae9ca3ee1;0a3f507d-013f-32b8-e044-0003ba298018;130;58;115;;1974;;1;;;POINT(707933.42 6170687.85);5;6
c1465101-be71-4fa8-937c-c60b5bee8902;0a3f507d-1d29-32b8-e044-0003ba298018;510;35;35;;;;;;;;;9
c1479a19-8f62-44d6-a28a-2c937c25d930;0a3f507d-1feb-32b8-e044-0003ba298018;216;385;;385;1880;1963;2;6;90;POINT(700799.34 6168659.33);5;6
c148f039-5b1c-4374-8767-fca8c6ad376d;0a3f507d-0de1-32b8-e044-0003ba298018;120;136;112;;1954;1982;1;;90;POINT(701197.92 6172034.37);5;6
c14a3357-8359-47e8-b770-16dc386d8d2e;0a3f507d-1fb2-32b8-e044-0003ba298018;120;100;100;;1945;;1;;2;POINT(701071.9 6171716.43);5;6
c14f58f0-cd48-45fe-960c-e7b58490fe55;0a3f507c-f98e-32b8-e044-0003ba298018;920;;;;2002;;;;;POINT(707419.11 6171877.92);5;6
c150422c-9893-4794-8eb5-e809c2aa6967;0a3f507d-25c6-32b8-e044-0003ba298018;930;;;;1996;;;;;POINT(707898.84 6171321.42);5;6
c155c2a5-61a7-4875-b273-6c7cefed47bf;0a3f507d-07fb-32b8-e044-0003ba298018;920;;;;2007;;9;;;POINT(704579.47 6171949.42);5;6
c155d9e4-80c7-4500-b930-1019e2d221cd;0a3f507d-1ddb-32b8-e044-0003ba298018;930;;;;1992;;;;;POINT(705826.35 6170337.07);5;6
c156e5da-813b-4287-a90a-d5084620dc33;0a3f507d-0427-32b8-e044-0003ba298018;120;112;112;;1953;1964;1;;2;POINT(701319.76 6172056.43);5;6
c15c9196-cc5d-4ecb-aabc-9fca0b8a6f48;0a3f507d-0d5d-32b8-e044-0003ba298018;910;;;;1973;;;;;POINT(708375.81 6171794.53);5;6
c15e9dc5-7b93-4213-ac12-fe3b33840cc8;0a3f507c-fef6-32b8-e044-0003ba298018;120;112;170;;1777;1959;7;1;2;POINT(704903.22 6175815.11);5;10
c15f80d3-bf83-4b97-93a6-068eddf702aa;0a3f507d-1aa2-32b8-e044-0003ba298018;120;86;151;;1941;1990;1;;;POINT(701052.43 6171802.27);5;6
c15fc5d2-84a6-46e7-8ac8-8c6d553447fc;0a3f507d-1495-32b8-e044-0003ba298018;920;;;;1979;;;;;POINT(707387.12 6170652.67);5;6
c161dca4-1902-49e7-8389-d190f8ddcf50;0a3f507c-f8ab-32b8-e044-0003ba298018;429;8966;;8966;1982;;1;;;POINT(705295.58 6171931.48);5;6
c1620b42-661e-4ad3-8dfd-8677c70d0b0c;0a3f507d-1b05-32b8-e044-0003ba298018;920;;;;1980;;;;;POINT(700672.52 6171785.24);5;6
c1628ebe-07da-443b-a986-939b5b887df5;0a3f507d-25b5-32b8-e044-0003ba298018;510;59;59;;1967;;5;1;5;POINT(705952.64 6177677.91);5;6
c163acb3-1313-480e-8be2-ccc0b2e330a8;31a8649e-cc14-40f2-8edc-8b49ca7036ba;920;;;;1986;;;;;POINT(706882.86 6170910.19);5;6
c163b82e-b2dd-4cde-a330-ecf7a2666f01;0a3f507d-0b80-32b8-e044-0003ba298018;930;;;;2013;;;;;POINT(705646.63 6170975.56);5;6
c16525e5-2ea9-4f5d-afa6-725c3030cda2;0a3f507d-001e-32b8-e044-0003ba298018;920;;;;1968;1998;;;;POINT(708135.26 6171173.05);5;6
c1664531-1fef-4866-a7df-f19277da4766;0a3f507c-f430-32b8-e044-0003ba298018;920;;;;2006;;;;;POINT(700936.5 6167903.76);5;6
c166823d-7262-4c74-83da-6d9c75ee9c16;0a3f507c-f91f-32b8-e044-0003ba298018;120;137;137;;1972;;2;7;;POINT(700649.57 6173252.23);5;6
c1669558-4acd-467f-9343-ea32236f0c47;0a3f507c-eff6-32b8-e044-0003ba298018;590;7;;7;1973;;9;;;;;10
c168a99a-130b-4b70-abff-f8d0254617bb;0a3f507d-1a2a-32b8-e044-0003ba298018;910;;;;1965;;;;;POINT(707502.16 6171134.31);5;6
c170bbbc-fa6b-47c4-9d4b-0622dee5cf80;0a3f507d-1d4e-32b8-e044-0003ba298018;930;;;;1967;;;;;POINT(700801.42 6167853.88);5;6
c170c672-cf7e-4c3c-8203-bc1d35e05492;0a3f507c-f203-32b8-e044-0003ba298018;120;82;85;;1750;;6;3;90;POINT(704041.81 6175961.16);5;6
c174388e-65ba-4965-89f4-7092d60c09d1;0a3f507c-f7a0-32b8-e044-0003ba298018;120;120;100;;1965;;2;7;;POINT(700274.34 6172600.18);5;6
c174c1a5-35bf-4dff-9247-e6467eaa2102;0a3f507d-1859-32b8-e044-0003ba298018;910;;;;1000;;;;;POINT(702865.82 6171575.75);5;6
